,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
197,bK08U03L,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
198,bK08U95D,Sq,,,,,,,,1e-30,0,,,
199,bK08W94Y,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
200,bK09B00G,Sq,,,,,,,,1e-30,0,,,
201,bK09B02F,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
202,bK09B02W,Sq,,,,,,,,1e-30,0,,,
203,bK09C00V,Q,,,,,,,,,,,13.315,
204,bK09D04N,B,0.235,0.001,0.001,10,,,,,,,,
205,bK09D12C,X,,,,88,,10,0.5,,,,,
206,bK09D43A,Sr,,,,,,,,1e-30,0,,,
207,bK09F04X,Q,,,,,,,,,,,13.315,
208,bK09F32S,S,,,,,,,,1e-30,0,,,
209,bK09H00C,L,,,,,,,,1e-30,0,7,,
210,bK09H60E,Sq,,,,,,,,1e-30,0,,,
211,bK09K01Y,Xk,,,,88,,10,0.5,,,,,
212,bK09O05S,Sq,,,,,,,,1e-30,0,,,
213,bK09P00D,Sq,,,,,,,,1e-30,0,,,
214,bK09Q34E,X,,,,88,,10,0.5,,,,,
215,bK09R00H,Ld,,,,,,,,1e-30,0,,,
216,bK09R01T,X,,,,88,,10,0.5,,,,,
217,bK09S18J,Sk,,,,,,,,1e-30,0,,,
218,bK09T00P,Sr,,,,,,,,1e-30,0,,,
219,bK09U19Y,Cg,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
220,bK09U87Z,Sa,,,,,,,,5e-31,0,,,
221,bK09WA5M,Sr,,,,,,,,1e-30,0,,,
222,bK09WA6C,S,,,,,,,,1e-30,0,,,
223,bK09Y00F,Sq,,,,,,,,1e-30,0,,,
224,bK09Y00S,S,,,,,,,,1e-30,0,,,
225,bK10C44O,Q,,,,,,,,,,,13.315,
226,bK10C55D,S,,,,,,,,1e-30,0,,,
227,bK10C55E,Q,,,,,,,,,,,13.315,
228,bK10E11X,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
229,bK10E44N,T,,,,6,,,,,,,,
230,bK10F00T,S,,,,,,,,1e-30,0,,,
231,bK10F09V,Sq,,,,,,,,1e-30,0,,,
232,bK10G35C,S,,,,,,,,1e-30,0,,,
233,bK10H00A,S,,,,,,,,1e-30,0,,,
234,bK10J01K,V,,,,,,,,1e-30,0,,,
235,bK10J39T,Q,,,,,,,,,,,13.315,
236,bK10K07V,X,,,,88,,10,0.5,,,,,
237,bK10K37J,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
238,bK10P49Y,S,,,,,,,,1e-30,0,,,
239,bK10S00F,Sq,,,,,,,,1e-30,0,,,
240,bK10S00J,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
241,bK10S11X,B,0.235,0.001,0.001,10,,,,,,,,
242,bK10T00E,X,,,,88,,10,0.5,,,,,
243,bK10T19K,S,,,,,,,,1e-30,0,,,
244,bK10U00P,Xk,,,,88,,10,0.5,,,,,
245,bK10V01B,S,,,,,,,,1e-30,0,,,
246,bK10V11Z,S,,,,,,,,1e-30,0,,,
247,bK10W00B,Sl,,,,,,,,1e-30,0,,,
248,bK10W07R,S,,,,,,,,1e-30,0,,,
249,bK10W08U,V,,,,,,,,1e-30,0,,,
250,bK10W09A,L,,,,,,,,1e-30,0,7,,
251,bK10X03F,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
252,bK11A03B,S,,,,,,,,1e-30,0,,,
253,bK11A04U,S,,,,,,,,1e-30,0,,,
254,bK11A23A,Sq,,,,,,,,1e-30,0,,,
255,bK11A24M,Sl,,,,,,,,1e-30,0,,,
256,bK11A37A,D,,,,,2.3e-05,,,,,,,
257,bK11A37B,O,,,,,,,,,,,2.965,1.25
258,bK11B40P,S,,,,,,,,1e-30,0,,,
259,bK11C02G,Sq,,,,,,,,1e-30,0,,,
260,bK11C07Y,D,,,,,2.3e-05,,,,,,,
261,bK11C14O,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
262,bK11C22E,T,,,,6,,,,,,,,
263,bK11D00R,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
264,bK11D00V,L,,,,,,,,1e-30,0,7,,
265,bK11D09T,Sr,,,,,,,,1e-30,0,,,
266,bK11E00K,X,,,,88,,10,0.5,,,,,
